horizon,fold_tau,top1_MAE,top1_MAE_2024,top1_MAE_2025,top3_MAE,top3_MAE_2024,top3_MAE_2025,top5_MAE,top5_MAE_2024,top5_MAE_2025,top10_MAE,top10_MAE_2024,top10_MAE_2025,top20_MAE,top20_MAE_2024,top20_MAE_2025,best_baseline,best_baseline_MAE
1,0.07,62.0,50.7,75.2,53.6,44.7,64.0,52.5,44.3,62.0,52.5,45.2,61.0,51.7,43.6,61.2,persistence,55.2
2,0.15,58.1,51.4,65.3,56.6,51.0,62.6,55.7,51.0,60.8,57.7,51.8,64.0,58.0,51.8,64.6,persistence,67.0
3,0.175,59.4,59.1,59.6,59.0,57.0,60.9,59.2,56.9,61.5,59.7,56.9,62.4,58.6,56.5,60.7,seasonal + drift,70.6
4,0.217,70.0,67.2,72.6,67.1,64.6,69.4,63.8,63.1,64.5,61.9,61.3,62.5,59.0,57.5,60.4,seasonal + drift,64.6
