year,week,nasa_rain_sum,nasa_rain_mean,nasa_rain_max_daily,nasa_wet_days,temp_c_mean,temp_c_max,humidity_pct_mean
2020,52,0.0,0.0,0.0,0,15.90857142857143,16.78,49.339999999999996
2021,1,0.0,0.0,0.0,0,11.27,13.52,50.74142857142857
2021,2,0.0,0.0,0.0,0,11.415714285714285,13.44,51.19285714285714
2021,3,0.0,0.0,0.0,0,10.667142857142858,11.45,37.67285714285715
2021,4,0.5900000000000001,0.0842857142857143,0.54,0,11.81,13.24,42.92857142857143
2021,5,0.08,0.011428571428571429,0.06,0,13.780000000000001,14.32,43.021428571428565
2021,6,2.01,0.2871428571428571,1.05,1,14.335714285714285,15.76,45.06142857142857
2021,7,0.11000000000000001,0.015714285714285715,0.07,0,16.95,18.19,37.37
2021,8,1.68,0.24,1.42,1,16.654285714285713,18.1,29.585714285714285
2021,9,2.79,0.3985714285714286,1.22,1,18.307142857142857,19.3,35.83571428571428
2021,10,0.24,0.03428571428571429,0.09,0,19.577142857142857,20.78,33.46142857142857
2021,11,0.0,0.0,0.0,0,20.45285714285714,21.47,28.965714285714284
2021,12,8.83,1.2614285714285713,4.36,3,20.562857142857144,22.48,25.98
2021,13,0.37,0.05285714285714286,0.2,0,22.337142857142858,23.2,20.181428571428572
2021,14,14.940000000000001,2.1342857142857143,11.07,3,23.177142857142858,24.4,28.564285714285713
2021,15,14.66,2.0942857142857143,8.83,3,22.544285714285714,23.96,35.137142857142855
2021,16,12.399999999999999,1.7714285714285711,6.88,3,23.428571428571427,24.52,37.25
2021,17,28.49,4.069999999999999,9.07,5,20.868571428571425,22.24,58.98142857142857
2021,18,28.35,4.05,17.84,4,21.60571428571429,24.48,54.10142857142857
2021,19,22.82,3.2600000000000002,15.84,3,23.88714285714286,25.32,55.83571428571429
2021,20,115.02,16.431428571428572,47.1,6,23.610000000000003,26.1,71.37571428571428
2021,21,9.76,1.3942857142857144,4.4,2,23.73428571428571,24.89,70.91714285714286
2021,22,63.290000000000006,9.041428571428572,13.46,7,23.261428571428574,25.02,79.93285714285715
2021,23,56.46,8.065714285714286,21.37,6,22.537142857142857,23.02,87.29714285714286
2021,24,57.71,8.244285714285715,21.15,7,22.75,23.29,89.83714285714287
2021,25,123.36999999999999,17.624285714285712,36.43,7,22.624285714285715,23.2,91.37571428571428
2021,26,75.93,10.847142857142858,21.46,7,22.67142857142857,22.98,92.03428571428572
2021,27,74.00999999999999,10.572857142857142,23.06,7,22.701428571428572,23.55,90.50857142857141
2021,28,79.13,11.304285714285713,23.74,7,23.352857142857143,24.29,89.20142857142856
2021,29,76.07,10.867142857142856,20.84,7,23.035714285714285,23.21,90.0442857142857
2021,30,97.74000000000001,13.962857142857144,31.94,7,23.045714285714286,24.16,88.27285714285713
2021,31,87.1,12.442857142857141,28.23,7,23.021428571428572,23.26,92.20142857142856
2021,32,55.19,7.884285714285714,11.34,7,22.132857142857144,22.99,92.47571428571429
2021,33,124.32000000000001,17.76,27.05,7,22.041428571428572,22.47,94.30999999999999
2021,34,48.6,6.942857142857143,12.32,7,21.951428571428572,22.94,91.50714285714285
2021,35,59.15,8.45,39.73,4,22.06,23.06,90.17857142857143
2021,36,18.66,2.665714285714286,4.38,6,21.765714285714285,23.06,89.1842857142857
2021,37,33.12,4.731428571428571,8.97,6,21.85571428571429,22.48,90.53
2021,38,36.980000000000004,5.282857142857144,10.13,7,21.154285714285713,22.28,89.02285714285713
