year,week,ktm_rain,ktm_rain_lag1,ktm_rain_lag2,ktm_rain_lag3,ktm_rain_roll3,ktm_max_daily,ktm_humidity,ktm_temp,ktm_rain_anom,ktm_rain_anom_lag1,ktm_rain_anom_lag2,ktm_rain_anom_lag3,ktm_rain_anom_roll3,nat_rain,nat_rain_lag1,nat_rain_lag2,nat_rain_lag3,nat_rain_roll3,nat_max_daily,nat_humidity,nat_temp,nat_rain_anom,nat_rain_anom_lag1,nat_rain_anom_lag2,nat_rain_anom_lag3,nat_rain_anom_roll3,terai_rain,terai_rain_lag1,terai_rain_lag2,terai_rain_lag3,terai_rain_roll3,terai_max_daily,terai_humidity,terai_temp,terai_rain_anom,terai_rain_anom_lag1,terai_rain_anom_lag2,terai_rain_anom_lag3,terai_rain_anom_roll3,casew_rain,casew_rain_lag1,casew_rain_lag2,casew_rain_lag3,casew_rain_roll3,casew_max_daily,casew_humidity,casew_temp,casew_rain_anom,casew_rain_anom_lag1,casew_rain_anom_lag2,casew_rain_anom_lag3,casew_rain_anom_roll3
2020,52,0.0,,,,,0.0,49.34,15.90857142857143,-3.28111111111111,,,,,2.3284615384615384,,,,,1.7617948717948717,53.798864468864465,13.141904761904762,-1.1592022792022694,,,,,0.9593333333333334,,,,,0.6426666666666667,54.96609523809524,19.666476190476192,-2.5523703703703755,,,,,0.572825332795482,,,,,0.38233319887051226,50.895961850976775,17.694348412378265,-3.125530545470844,,,,
2021,1,0.0,0.0,,,,0.0,50.74142857142857,11.27,-0.44333333333333336,-3.28111111111111,,,,0.013846153846153847,2.3284615384615384,,,,0.008461538461538461,45.44794871794872,10.46809523809524,-1.8254131054131055,-1.1592022792022694,,,,0.007333333333333333,0.9593333333333334,,,,0.004,48.196285714285715,14.794857142857143,-2.0966666666666662,-2.5523703703703755,,,,0.0005114965711980637,0.572825332795482,,,,0.00026220250100847115,48.26470350947964,12.87103059989627,-1.2875524180897315,-3.125530545470844,,,
2021,2,0.0,0.0,0.0,,0.0,0.0,51.19285714285714,11.415714285714284,-0.48444444444444446,-0.44333333333333336,-3.28111111111111,,-4.208888888888888,0.2735897435897436,0.013846153846153847,2.3284615384615384,,2.615897435897436,0.18512820512820513,48.22256410256411,10.239450549450549,-2.134814814814815,-1.8254131054131055,-1.1592022792022694,,-5.11943019943019,0.24799999999999997,0.007333333333333333,0.9593333333333334,,1.2146666666666666,0.17933333333333332,47.017809523809525,15.814095238095238,-2.0038518518518518,-2.0966666666666662,-2.5523703703703755,,-6.652888888888894,0.014030657523194837,0.0005114965711980637,0.572825332795482,,0.5873674868898748,0.009776522791448167,47.370355212355214,13.510329971762806,-1.4179054278158756,-1.2875524180897315,-3.125530545470844,,-5.830988391376451
2021,3,0.0,0.0,0.0,0.0,0.0,0.0,37.67285714285715,10.667142857142858,-4.527777777777778,-0.48444444444444446,-0.44333333333333336,-3.28111111111111,-5.455555555555556,0.0,0.2735897435897436,0.013846153846153847,2.3284615384615384,0.2874358974358974,0.0,39.30542124542124,8.792527472527473,-6.055527065527065,-2.134814814814815,-1.8254131054131055,-1.1592022792022694,-10.015754985754986,0.0,0.24799999999999997,0.007333333333333333,0.9593333333333334,0.2553333333333333,0.0,40.68038095238095,14.676666666666668,-5.715111111111111,-2.0038518518518518,-2.0966666666666662,-2.5523703703703755,-9.815629629629628,0.0,0.014030657523194837,0.0005114965711980637,0.572825332795482,0.0145421540943929,0.0,38.16484596323403,12.551179968881462,-5.251813813813813,-1.4179054278158756,-1.2875524180897315,-3.125530545470844,-7.95727165971942
2021,4,0.5900000000000001,0.0,0.0,0.0,0.5900000000000001,0.54,42.92857142857143,11.81,-3.721111111111111,-4.527777777777778,-0.48444444444444446,-0.44333333333333336,-8.733333333333333,1.1405128205128203,0.0,0.2735897435897436,0.013846153846153847,1.414102564102564,0.7556410256410256,45.33043956043956,10.188095238095238,-5.083903133903132,-6.055527065527065,-2.134814814814815,-1.8254131054131055,-13.274245014245013,0.9319999999999999,0.0,0.24799999999999997,0.007333333333333333,1.18,0.6673333333333333,40.89933333333333,16.83609523809524,-5.431851851851851,-5.715111111111111,-2.0038518518518518,-2.0966666666666662,-13.150814814814813,0.6637087535296491,0.0,0.014030657523194837,0.0005114965711980637,0.677739411052844,0.5190254134731749,40.664970552642195,14.269818244683915,-5.193673344986778,-5.251813813813813,-1.4179054278158756,-1.2875524180897315,-11.863392586616467
2021,5,0.08,0.5900000000000001,0.0,0.0,0.67,0.06,43.021428571428565,13.78,-4.54,-3.721111111111111,-4.527777777777778,-0.48444444444444446,-12.788888888888888,0.05871794871794872,1.1405128205128203,0.0,0.2735897435897436,1.199230769230769,0.05564102564102564,42.44208791208791,12.71113553113553,-5.28019943019943,-5.083903133903132,-6.055527065527065,-2.134814814814815,-16.41962962962963,0.012,0.9319999999999999,0.0,0.24799999999999997,0.944,0.012,39.328761904761905,18.65952380952381,-5.608814814814815,-5.431851851851851,-5.715111111111111,-2.0038518518518518,-16.755777777777777,0.048752722872125856,0.6637087535296491,0.0,0.014030657523194837,0.7124614764017749,0.039435256151674064,40.11179507866074,16.14174736356826,-5.531706960692035,-5.193673344986778,-5.251813813813813,-1.4179054278158756,-15.977194119492626
2021,6,2.01,0.08,0.5900000000000001,0.0,2.6799999999999997,1.05,45.06142857142857,14.335714285714284,1.3366666666666664,-4.54,-3.721111111111111,-4.527777777777778,-6.924444444444443,2.036923076923077,0.05871794871794872,1.1405128205128203,0.0,3.2361538461538464,1.1046153846153846,44.52296703296703,13.004542124542123,-0.1370655270655261,-5.28019943019943,-5.083903133903132,-6.055527065527065,-10.501168091168088,1.2106666666666668,0.012,0.9319999999999999,0.0,2.1546666666666665,0.648,36.63628571428571,20.215238095238092,-0.8874814814814818,-5.608814814814815,-5.431851851851851,-5.715111111111111,-11.928148148148148,1.7227761194029851,0.048752722872125856,0.6637087535296491,0.0,2.43523759580476,0.828601048810004,40.0905147236789,17.168517489771226,-0.058401774909237814,-5.531706960692035,-5.193673344986778,-5.251813813813813,-10.783782080588052
2021,7,0.11,2.01,0.08,0.5900000000000001,2.1999999999999997,0.07,37.37,16.95,-0.9077777777777777,1.3366666666666664,-4.54,-3.721111111111111,-4.111111111111111,1.1017948717948718,2.036923076923077,0.05871794871794872,1.1405128205128203,3.197435897435897,0.6735897435897436,39.412344322344325,15.709487179487178,-0.606524216524216,-0.1370655270655261,-5.28019943019943,-5.083903133903132,-6.023789173789171,0.604,1.2106666666666668,0.012,0.9319999999999999,1.8266666666666667,0.33866666666666667,31.85457142857143,22.842666666666666,-0.30414814814814817,-0.8874814814814818,-5.608814814814815,-5.431851851851851,-6.800444444444445,0.1239322307382009,1.7227761194029851,0.048752722872125856,0.6637087535296491,1.895461073013312,0.08826220250100847,34.00887224111105,19.832701319656543,-0.9184916857155663,-0.058401774909237814,-5.531706960692035,-5.193673344986778,-6.508600421316839
2021,8,1.68,0.11,2.01,0.08,3.8,1.42,29.585714285714285,16.654285714285713,0.6566666666666667,-0.9077777777777777,1.3366666666666664,-4.54,1.0855555555555565,0.9261538461538461,1.1017948717948718,2.036923076923077,0.05871794871794872,4.064871794871795,0.5915384615384616,31.11608058608058,15.453772893772895,-1.3696581196581186,-0.606524216524216,-0.1370655270655261,-5.28019943019943,-2.1132478632478597,0.4613333333333333,0.604,1.2106666666666668,0.012,2.2760000000000002,0.29133333333333333,22.86714285714286,23.209904761904763,-0.8191111111111109,-0.30414814814814817,-0.8874814814814818,-5.608814814814815,-2.010740740740741,1.1029084308188786,0.1239322307382009,1.7227761194029851,0.048752722872125856,2.9496167809600644,0.9213957240822912,25.73115772488907,19.774493286463436,-0.09027511093182738,-0.9184916857155663,-0.058401774909237814,-5.531706960692035,-1.0671685715566315
2021,9,2.79,1.68,0.11,2.01,4.58,1.22,35.83571428571428,18.307142857142857,0.3055555555555558,0.6566666666666667,-0.9077777777777777,1.3366666666666664,0.05444444444444574,8.924102564102563,0.9261538461538461,1.1017948717948718,2.036923076923077,10.952051282051281,4.414871794871795,39.89575091575092,16.905128205128204,6.115156695156696,-1.3696581196581186,-0.606524216524216,-0.1370655270655261,4.138974358974362,5.334666666666666,0.4613333333333333,0.604,1.2106666666666668,6.3999999999999995,2.5373333333333337,30.143714285714285,25.057238095238095,3.247333333333333,-0.8191111111111109,-0.30414814814814817,-0.8874814814814818,2.1240740740740742,4.159037515127068,1.1029084308188786,0.1239322307382009,1.7227761194029851,5.385878176684147,2.0748672851956433,32.79264726560249,21.529952400161353,1.843999731074358,-0.09027511093182738,-0.9184916857155663,-0.058401774909237814,0.8352329344269644
