year,week,rain_mean_mm,rain_max_mm,rain_std_mm,wet_days,max_daily_mm,n_stations,rain_source_is_dhm,temp_c_mean,temp_c_max,humidity_pct_mean,nasa_rain_sum
2021,1,0.0004347826086956,0.01,0.0020851441405707,0.0,0.01,23.0,1,11.27,13.52,50.74142857142857,0.0
2021,2,0.0,0.0,0.0,0.0,0.0,23.0,1,11.415714285714284,13.44,51.19285714285714,0.0
2021,3,0.2352173913043478,5.41,1.1280629800487745,0.0434782608695652,5.4,23.0,1,10.667142857142858,11.45,37.67285714285715,0.0
2021,4,3.463636363636364,10.71,2.9359018172478932,0.7272727272727273,10.4,22.0,1,11.81,13.24,42.92857142857143,0.5900000000000001
2021,5,0.0,0.0,0.0,0.0,0.0,22.0,1,13.78,14.32,43.021428571428565,0.08
2021,6,2.0681818181818183,13.4,3.1804935770945035,0.4545454545454545,13.4,22.0,1,14.335714285714284,15.76,45.06142857142857,2.01
2021,7,0.1513636363636363,3.1,0.6599516248833298,0.0454545454545454,3.1,22.0,1,16.95,18.19,37.37,0.11
2021,8,3.358260869565217,8.51,2.7216332866563,0.7391304347826086,8.5,23.0,1,16.654285714285713,18.1,29.585714285714285,1.68
2021,9,3.6030434782608696,11.4,3.4879616798127095,1.0,10.8,23.0,1,18.307142857142857,19.3,35.83571428571428,2.79
2021,10,0.087391304347826,2.0,0.4169392520751058,0.0434782608695652,2.0,23.0,1,19.577142857142857,20.78,33.46142857142857,0.24
2021,11,0.0447826086956521,1.0,0.2082801776719695,0.0,1.0,23.0,1,20.45285714285714,21.47,28.965714285714284,0.0
2021,12,11.16304347826087,34.5,9.122055407728023,1.0434782608695652,32.6,23.0,1,20.562857142857144,22.48,25.98,8.83
2021,13,2.9039130434782607,12.4,3.906201059772473,0.5217391304347826,11.8,23.0,1,22.337142857142855,23.2,20.181428571428572,0.37
2021,14,21.46695652173913,67.1,16.423820958037144,1.9565217391304348,66.5,23.0,1,23.177142857142854,24.4,28.564285714285713,14.94
2021,15,13.206521739130435,26.110000000000003,6.213276553767492,1.6521739130434785,17.6,23.0,1,22.544285714285714,23.96,35.137142857142855,14.66
2021,16,31.39695652173913,91.1,20.603406698624692,2.260869565217391,48.0,23.0,1,23.428571428571427,24.52,37.25,12.4
2021,17,21.593913043478263,70.02000000000001,18.524854738512904,2.3043478260869565,35.5,23.0,1,20.868571428571425,22.24,58.98142857142857,28.49
2021,18,16.41913043478261,45.21,9.893736729982937,2.391304347826087,25.1,23.0,1,21.60571428571429,24.48,54.10142857142857,28.35
2021,19,17.795217391304345,100.9,18.792334962949223,2.3043478260869565,23.4,23.0,1,23.88714285714286,25.32,55.83571428571429,22.82
2021,20,93.53826086956522,133.3,16.777565825225153,4.304347826086956,65.1,23.0,1,23.610000000000003,26.1,71.37571428571428,115.02
2021,21,17.004347826086956,91.5,21.54885734707126,1.434782608695652,33.0,23.0,1,23.73428571428571,24.89,70.91714285714286,9.76
2021,22,61.44347826086957,228.51,51.695210751330784,4.086956521739131,79.2,23.0,1,23.261428571428574,25.02,79.93285714285715,63.290000000000006
2021,23,76.68434782608696,154.2,38.33022470181592,5.782608695652174,72.2,23.0,1,22.537142857142857,23.02,87.29714285714286,56.46
2021,24,96.60652173913044,260.3,58.831464494983514,4.478260869565218,105.0,23.0,1,22.75,23.29,89.83714285714287,57.71
2021,25,161.07434782608695,190.1,23.52423002818524,5.956521739130435,95.1,23.0,1,22.624285714285715,23.2,91.37571428571428,123.37
2021,26,106.04695652173912,224.4,45.02281365493625,5.086956521739131,91.4,23.0,1,22.67142857142857,22.98,92.03428571428572,75.93
2021,27,80.33739130434783,130.6,35.606240287775826,5.913043478260869,65.0,23.0,1,22.701428571428572,23.55,90.5085714285714,74.00999999999999
2021,28,97.0795652173913,215.4,47.05811044754433,5.6521739130434785,76.5,23.0,1,23.352857142857143,24.29,89.20142857142856,79.13
2021,29,96.21391304347826,168.4,30.776571481792978,6.260869565217392,85.2,23.0,1,23.035714285714285,23.21,90.0442857142857,76.07
2021,30,72.78434782608696,353.79999999999995,76.32276050527945,4.956521739130435,140.1,23.0,1,23.045714285714286,24.16,88.27285714285713,97.74
2021,31,79.86260869565218,209.0,38.61850501053882,4.869565217391305,94.4,23.0,1,23.021428571428572,23.26,92.20142857142856,87.1
2021,32,83.02217391304347,365.2,73.41981977619108,5.217391304347826,82.1,23.0,1,22.132857142857144,22.99,92.47571428571428,55.19
2021,33,121.08869565217393,162.8,24.259693152587637,6.391304347826087,75.0,23.0,1,22.041428571428572,22.47,94.31,124.32
2021,34,73.26434782608695,233.3,54.48091332384939,4.869565217391305,114.4,23.0,1,21.951428571428572,22.94,91.50714285714284,48.6
2021,35,96.10478260869564,238.82,56.115939630664755,4.826086956521739,146.2,23.0,1,22.06,23.06,90.17857142857144,59.15
2021,36,24.995217391304347,112.1,21.09663994564175,4.130434782608695,32.0,23.0,1,21.765714285714285,23.06,89.1842857142857,18.66
2021,37,64.41217391304347,147.21,38.431818015394214,3.695652173913043,61.4,23.0,1,21.85571428571429,22.48,90.53,33.12
2021,38,35.95869565217391,72.6,20.83497677733894,3.608695652173913,43.5,23.0,1,21.154285714285713,22.28,89.02285714285713,36.98
2021,39,17.695652173913043,84.81,19.48556711239628,1.434782608695652,84.8,23.0,1,21.15285714285714,21.43,91.91428571428573,24.04
2021,40,8.240869565217391,83.3,18.39021476789997,0.782608695652174,55.3,23.0,1,22.228571428571428,23.07,86.59142857142857,18.8
2021,41,32.00217391304348,129.4,24.70470970124775,3.3043478260869565,51.1,23.0,1,19.12,20.54,91.06285714285715,59.150000000000006
2021,42,4.280434782608696,24.2,7.586518232580781,0.4347826086956521,24.2,23.0,1,17.674285714285713,18.1,84.95142857142856,0.35
2021,43,0.0004347826086956,0.01,0.0020851441405707,0.0,0.01,23.0,1,15.854285714285714,16.5,80.23857142857142,0.0
2021,44,0.0,0.0,0.0,0.0,0.0,23.0,1,15.96,16.73,85.13857142857144,0.4399999999999999
2021,45,0.0017391304347826,0.02,0.0049102619010353,0.0,0.01,23.0,1,15.507142857142856,16.18,82.44142857142857,0.36
2021,46,0.0008695652173913,0.01,0.0028810406552003,0.0,0.01,23.0,1,13.352857142857143,14.59,86.23,0.0
2021,47,0.6082608695652174,2.5,0.8100373289597835,0.2608695652173913,2.5,23.0,1,15.138571428571428,15.85,82.7057142857143,0.79
2021,48,0.0,0.0,0.0,0.0,0.0,23.0,1,13.29,15.21,71.79428571428572,0.1
2021,49,0.0,0.0,0.0,0.0,0.0,23.0,1,11.85,12.93,60.03857142857142,0.0
2021,50,0.1804347826086956,4.01,0.8350801717683353,0.0434782608695652,4.0,23.0,1,10.344285714285714,10.85,75.36571428571428,0.3299999999999999
2021,51,42.11869565217391,58.010000000000005,8.25935959676152,1.9130434782608696,42.2,23.0,1,9.93142857142857,10.72,77.40857142857143,27.630000000000003
2021,52,0.0026086956521739,0.02,0.0054082355586371,0.0,0.01,23.0,1,11.888571428571428,13.45,72.69142857142857,0.32
2022,1,3.8634782608695657,13.6,4.1200282530978,0.782608695652174,13.6,23.0,1,10.55,12.24,75.42857142857143,1.58
2022,2,4.699565217391305,22.700000000000003,7.000435361955498,0.7391304347826086,20.5,23.0,1,9.974285714285712,11.23,73.86,2.09
2022,3,0.4343478260869565,3.93,0.9625337117447156,0.1304347826086956,3.4,23.0,1,8.541428571428572,10.14,76.60571428571428,0.69
2022,4,43.88695652173913,63.92,11.539685845252226,2.0434782608695654,42.0,23.0,1,8.634285714285713,10.04,76.9057142857143,37.38
2022,5,2.9778260869565214,18.4,4.822587910053857,0.391304347826087,18.4,23.0,1,10.065714285714284,11.02,74.95285714285716,0.06
2022,6,1.046086956521739,14.5,3.5033811449284693,0.0869565217391304,14.5,23.0,1,11.84142857142857,12.72,68.27142857142857,1.46
2022,7,1.7695652173913046,7.52,2.5579368075584767,0.4347826086956521,7.2,23.0,1,12.627142857142855,14.33,61.285714285714285,0.66
2022,8,0.0004347826086956,0.01,0.0020851441405707,0.0,0.01,23.0,1,15.324285714285717,16.97,51.82,0.12
2022,9,1.1652173913043478,26.8,5.588186296729604,0.0869565217391304,14.3,23.0,1,18.738571428571426,18.93,45.2,0.0
2022,10,0.9973913043478262,13.4,2.896160808869224,0.1739130434782608,13.4,23.0,1,21.78142857142857,23.16,49.31142857142857,2.44
2022,11,1.9382608695652173,16.099999999999998,3.5835059675913534,0.4347826086956521,15.7,23.0,1,20.974285714285713,21.96,43.28285714285714,6.8
2022,12,5.680434782608696,48.7,11.981508661365291,0.6086956521739131,40.2,23.0,1,21.05857142857143,22.4,49.021428571428565,8.16
2022,13,7.34304347826087,40.0,9.56694804321943,0.6956521739130435,40.0,23.0,1,22.602857142857143,23.27,41.26571428571429,9.69
2022,14,5.574347826086957,32.3,8.329531158958662,0.8695652173913043,26.5,23.0,1,23.277142857142856,23.99,35.61142857142857,1.81
2022,15,15.22217391304348,55.81,16.118694385577644,1.8695652173913044,48.5,23.0,1,23.111428571428572,24.33,43.74142857142857,13.25
2022,16,12.39913043478261,39.9,10.934294637034714,1.6521739130434785,28.0,23.0,1,24.47571428571429,25.17,36.17428571428571,12.93
2022,17,63.16,102.7,22.45560104254211,4.478260869565218,57.0,23.0,1,21.072857142857146,21.88,75.05142857142857,53.44
2022,18,33.7395652173913,129.11,26.398250196532633,3.260869565217391,68.5,23.0,1,23.135714285714283,24.66,68.17,25.28
2022,19,54.35521739130435,100.52,21.784230090421172,4.869565217391305,70.8,23.0,1,24.264285714285712,24.58,53.55714285714286,31.049999999999997
2022,20,59.07130434782608,123.82,29.65743970809898,4.3478260869565215,52.3,23.0,1,22.352857142857143,22.8,60.472857142857144,42.05
2022,21,28.75,69.7,21.18820383652616,2.782608695652174,48.4,23.0,1,24.75142857142857,25.3,56.53428571428571,22.16
2022,22,55.03217391304348,103.22,20.750742583979036,4.043478260869565,78.5,23.0,1,24.494285714285716,24.75,62.29714285714285,50.8
2022,23,115.47130434782608,185.0,42.97435792574957,6.043478260869565,97.2,23.0,1,23.942857142857143,24.98,75.74000000000001,90.58
2022,24,82.91869565217392,230.4,61.26164552032297,4.304347826086956,123.5,23.0,1,22.87857142857143,23.28,81.20571428571428,52.61
2022,25,80.35521739130435,141.8,28.64008234967294,4.913043478260869,52.0,23.0,1,22.341428571428573,23.02,89.05285714285715,63.29
2022,26,87.05260869565218,178.4,44.460126898092255,5.217391304347826,78.1,23.0,1,23.59142857142857,24.11,86.94714285714285,45.05
2022,27,55.364782608695656,150.8,44.45096214006921,4.3478260869565215,58.0,23.0,1,23.889999999999997,24.45,83.67142857142856,9.02
2022,28,149.53826086956522,247.1,52.12347060343388,6.0,103.0,23.0,1,23.014285714285712,23.53,86.9042857142857,83.85
2022,29,111.68434782608696,239.4,57.67443547629991,6.260869565217392,88.0,23.0,1,22.18,22.62,86.59285714285714,97.95
2022,30,104.66782608695652,281.7,50.76172188466081,6.086956521739131,86.8,23.0,1,22.58285714285714,23.33,90.33571428571427,63.51
2022,31,114.5995652173913,223.8,63.37643873054093,4.173913043478261,136.0,23.0,1,23.267142857142854,23.72,87.39285714285714,40.77
2022,32,79.20869565217392,264.3,48.76716996508165,3.391304347826087,73.0,23.0,1,22.882857142857144,23.51,87.30714285714285,36.42
2022,33,65.23826086956522,257.6,63.65176892865614,3.217391304347826,162.5,23.0,1,22.674285714285713,23.28,87.84714285714287,65.21000000000001
2022,34,40.969130434782606,98.6,27.589978073905332,4.3478260869565215,60.0,23.0,1,22.095714285714283,22.36,92.22571428571428,47.65
2022,35,79.20478260869565,170.8,32.603862413351806,5.086956521739131,64.5,23.0,1,21.858571428571427,22.25,89.92428571428572,57.18
2022,36,71.62391304347825,133.21,24.10805744957679,5.782608695652174,44.6,23.0,1,21.318571428571428,22.03,89.26571428571428,35.03
2022,37,38.28913043478261,103.6,26.593998966452336,3.5652173913043477,41.2,23.0,1,22.115714285714287,22.6,88.96428571428571,29.52
2022,38,22.98608695652174,116.5,29.883822583028312,1.8695652173913044,41.3,23.0,1,21.354285714285712,22.4,86.36714285714287,12.03
2022,39,118.94173913043478,214.5,33.297768510022344,5.086956521739131,78.6,23.0,1,20.678571428571427,22.72,88.27,80.31
2022,40,7.435217391304348,43.5,9.40449886034494,1.434782608695652,17.5,23.0,1,19.232857142857146,20.23,80.31857142857143,7.89
2022,41,0.8869565217391304,20.4,4.253694046764324,0.0434782608695652,20.4,23.0,1,17.755714285714287,18.31,68.83,0.0
2022,42,0.0004347826086956,0.01,0.0020851441405707,0.0,0.01,23.0,1,17.1,18.59,80.0442857142857,0.01
2022,43,0.0,0.0,0.0,0.0,0.0,23.0,1,17.12,17.88,80.71000000000001,0.0
2022,44,0.5347826086956522,12.3,2.564727292902019,0.0434782608695652,12.3,23.0,1,15.498571428571427,16.39,79.20714285714287,0.0
