year,week,rain_mean_mm,rain_max_mm,rain_std_mm,wet_days,max_daily_mm,n_stations
2020,52,0.012173913043478262,0.1,0.02152303665190783,0.0,0.1,23
2021,1,0.0004347826086956522,0.01,0.002085144140570748,0.0,0.01,23
2021,2,0.0,0.0,0.0,0.0,0.0,23
2021,3,0.23521739130434782,5.41,1.1280629800487745,0.043478260869565216,5.4,23
2021,4,3.463636363636364,10.71,2.9359018172478932,0.7272727272727273,10.4,22
2021,5,0.0,0.0,0.0,0.0,0.0,22
2021,6,2.0681818181818183,13.4,3.1804935770945035,0.45454545454545453,13.4,22
2021,7,0.15136363636363637,3.1,0.6599516248833298,0.045454545454545456,3.1,22
2021,8,3.358260869565217,8.51,2.7216332866563,0.7391304347826086,8.5,23
2021,9,3.6030434782608696,11.4,3.4879616798127095,1.0,10.8,23
2021,10,0.08739130434782608,2.0,0.4169392520751058,0.043478260869565216,2.0,23
2021,11,0.044782608695652176,1.0,0.20828017767196952,0.0,1.0,23
2021,12,11.16304347826087,34.5,9.122055407728023,1.0434782608695652,32.6,23
2021,13,2.9039130434782607,12.4,3.906201059772473,0.5217391304347826,11.8,23
2021,14,21.46695652173913,67.1,16.423820958037144,1.9565217391304348,66.5,23
2021,15,13.206521739130435,26.110000000000003,6.213276553767492,1.6521739130434783,17.6,23
2021,16,31.39695652173913,91.1,20.603406698624692,2.260869565217391,48.0,23
2021,17,21.593913043478263,70.02000000000001,18.524854738512904,2.3043478260869565,35.5,23
2021,18,16.41913043478261,45.21,9.893736729982937,2.391304347826087,25.1,23
2021,19,17.795217391304345,100.89999999999999,18.792334962949223,2.3043478260869565,23.4,23
2021,20,93.53826086956522,133.3,16.777565825225153,4.304347826086956,65.1,23
2021,21,17.004347826086956,91.5,21.54885734707126,1.434782608695652,33.0,23
2021,22,61.44347826086957,228.51,51.695210751330784,4.086956521739131,79.2,23
2021,23,76.68434782608696,154.2,38.33022470181592,5.782608695652174,72.2,23
2021,24,96.60652173913043,260.3,58.831464494983514,4.478260869565218,105.0,23
2021,25,161.07434782608695,190.1,23.52423002818524,5.956521739130435,95.1,23
2021,26,106.04695652173913,224.4,45.02281365493625,5.086956521739131,91.4,23
2021,27,80.33739130434783,130.6,35.606240287775826,5.913043478260869,65.0,23
2021,28,97.0795652173913,215.4,47.05811044754433,5.6521739130434785,76.5,23
2021,29,96.21391304347826,168.4,30.776571481792978,6.260869565217392,85.2,23
2021,30,72.78434782608696,353.79999999999995,76.32276050527945,4.956521739130435,140.1,23
2021,31,79.86260869565218,209.0,38.61850501053882,4.869565217391305,94.4,23
2021,32,83.02217391304347,365.2,73.41981977619108,5.217391304347826,82.1,23
2021,33,121.08869565217391,162.8,24.259693152587637,6.391304347826087,75.0,23
2021,34,73.26434782608695,233.3,54.48091332384939,4.869565217391305,114.4,23
2021,35,96.10478260869564,238.82,56.115939630664755,4.826086956521739,146.2,23
2021,36,24.995217391304347,112.1,21.09663994564175,4.130434782608695,32.0,23
2021,37,64.41217391304347,147.21,38.431818015394214,3.6956521739130435,61.4,23
2021,38,35.95869565217391,72.6,20.83497677733894,3.608695652173913,43.5,23
2021,39,17.695652173913043,84.81,19.485567112396282,1.434782608695652,84.8,23
